SCIENTIFIC_NAME,order,Family,Diet,Foraging_behaviour,Foraging_substrate,Habitat,Nesting_site,Overall_specialization,urban_score,urban_score_sample,lists_in_range_urban_score,relative_urbanness
Accipiter brevipes,Accipitriformes,Accipitridae,0.5,1,1,0.5,0.5,0.608,2.9064269065856934,201,1.2590861916542053,-0.19216173206999576
Accipiter gentilis,Accipitriformes,Accipitridae,1,0.5,0.2,1,0.33333,0.486,1.1483008861541748,711,1.5311630964279175,-1.3928797369185728
Accipiter nisus,Accipitriformes,Accipitridae,1,0.5,0.2,0.33333,0.33333,0.311,1.7648675441741943,3985,1.6859594583511353,-1.1178838165756093
Acrocephalus arundinaceus,Passeriformes,Sylviidae,0.5,0.25,0.2,0.33333,0.5,0.159,0.835524320602417,5542,1.5872478485107422,-1.7669436708416928
Acrocephalus dumetorum,Passeriformes,Sylviidae,0.5,0.33333,0.2,0.33333,0.25,0.115,2.6437673568725586,215,1.3676202297210693,-0.3954153006828659
Acrocephalus melanopogon,Passeriformes,Sylviidae,0.5,0.5,0.2,0.5,0.33333,0.225,1.249113380908966,120,1.4801902770996094,-1.2577562727271308
Acrocephalus palustris,Passeriformes,Sylviidae,0.5,1,0.33333,0.5,0.33333,0.39,0.7863513827323914,1335,1.1707031726837158,-1.4110547073121595
Acrocephalus schoenobaenus,Passeriformes,Sylviidae,1,0.5,0.33333,0.25,0.33333,0.324,0.7742484211921692,4697,1.6522272825241089,-1.9080897817997733
Acrocephalus scirpaceus,Passeriformes,Sylviidae,0.5,0.25,0.25,0.5,0.33333,0.173,1.2524492740631104,7819,1.620751142501831,-1.395650089095097
Aegithalos caudatus,Passeriformes,Aegithalidae,0.5,0.33333,0.25,0.33333,0.2,0.115,1.7907285690307617,7009,1.601325511932373,-1.0187029530857197
Aegypius monachus,Accipitriformes,Accipitridae,1,0,1,0.2,0.25,0.333,0.22963112592697144,1743,1.2360526323318481,-2.707333690172776
Alauda arvensis,Passeriformes,Alaudidae,0.33333,0.33333,0.5,0.5,0.33333,0.216,0.5162961483001709,8966,1.6060094833374023,-2.267084230658992
Alcedo atthis,Coraciiformes,Alcedinidae,1,1,0.33333,1,0.33333,0.651,1.5163078308105469,4460,1.5744881629943848,-1.1582098417626334
Alectoris chukar,Galliformes,Phasianidae,0.5,1,1,0.33333,0.25,0.499,0.5027427673339844,437,1.2236790657043457,-1.9113557023450918
Alectoris rufa,Galliformes,Phasianidae,0.5,0.5,0.5,0.33333,0.25,0.238,0.48087507486343384,3443,1.4597017765045166,-2.191849538732514
Anas acuta,Anseriformes,Anatidae,0.2,0.33333,0.2,0.33333,0.33333,0.059,0.9787499904632568,1152,1.695413589477539,-1.7168926308984622
Anas crecca,Anseriformes,Anatidae,0.2,0.5,0.25,0.33333,0.14286,0.065,0.987325131893158,6977,1.6813582181930542,-1.6941140977078988
Anas platyrhynchos,Anseriformes,Anatidae,0.2,0.33333,0.2,1,0.14286,0.183,1.929919958114624,46195,1.714343786239624,-1.0568652566623062
Anser anser,Anseriformes,Anatidae,1,0.33333,0.33333,0.25,0.2,0.246,0.9787499904632568,13519,1.6813809871673584,-1.7028600285882816
Anser brachyrhynchus,Anseriformes,Anatidae,1,0.33333,1,0.5,0.33333,0.52,0.9714629650115967,768,1.301396131515503,-1.3303482638565065
Anser fabalis,Anseriformes,Anatidae,0.5,0.33333,1,0.33333,0.2,0.311,0.7940917611122131,184,1.273863673210144,-1.5044199294712277
Anthus campestris,Passeriformes,Motacillidae,1,0.5,1,1,0.33333,0.695,0.37928569316864014,1444,1.5781090259552002,-2.5475745759925146
Anthus cervinus,Passeriformes,Motacillidae,1,0.5,0.5,1,0.2,0.529,5.521564483642578,402,1.1035770773887634,0.6050841636938529
Anthus pratensis,Passeriformes,Motacillidae,0.5,1,1,0.33333,0.33333,0.52,0.9597954750061035,9450,1.6909414529800415,-1.7319765170666468
Anthus spinoletta,Passeriformes,Motacillidae,0.5,0.33333,0.5,1,0.33333,0.39,0.2790929079055786,578,1.08858060836792,-2.364791157716165
Anthus trivialis,Passeriformes,Motacillidae,1,0.33333,0.25,0.25,0.16667,0.216,0.5419765710830688,3095,1.6464887857437134,-2.2590212910045144
Apus apus,Caprimulgiformes,Apodidae,1,1,1,0.5,0.33333,0.695,5.576526641845703,43024,1.7535619735717773,-0.034995856609762566
Apus caffer,Caprimulgiformes,Apodidae,1,1,1,0.5,0.33333,0.695,0.2218763828277588,240,1.2540538311004639,-2.759688717409204
Apus pallidus,Caprimulgiformes,Apodidae,1,1,0.33333,0.33333,0.33333,0.477,12.378274917602539,6646,1.2225499153137207,1.2933929979363623
Aquila chrysaetos,Accipitriformes,Accipitridae,0.5,0.5,1,0.33333,0.5,0.434,0.29095229506492615,787,1.3553240299224854,-2.589919989656646
Ardea cinerea,Pelecaniformes,Ardeidae,0.33333,1,0.25,1,0.2,0.421,1.4387317895889282,26888,1.7243525981903076,-1.360590574322325
Ardea purpurea,Pelecaniformes,Ardeidae,0.5,1,0.33333,0.5,0.33333,0.39,0.9970319271087646,4223,1.5746358633041382,-1.5776083496588684
Ardeola ralloides,Pelecaniformes,Ardeidae,0.5,1,0.33333,1,0.2,0.486,2.450061798095703,2923,1.580380916595459,-0.6842676686444039
Asio flammeus,Strigiformes,Strigidae,1,1,1,0.33333,0.33333,0.651,0.9167449474334717,378,1.4016612768173218,-1.488587260252934
Asio otus,Strigiformes,Strigidae,1,1,1,0.5,0.09091,0.631,2.0179378390312195,618,1.754101037979126,-1.0520249197772333
Athene noctua,Strigiformes,Strigidae,0.33333,0.33333,0.16667,0.5,0.33333,0.128,1.1083214282989502,2376,1.4016612768173218,-1.298814632819709
Aythya ferina,Anseriformes,Anatidae,0.2,0.33333,0.2,1,0.33333,0.233,1.4387317895889282,5348,1.7005842924118042,-1.3368222685438216
Aythya fuligula,Anseriformes,Anatidae,0.2,0.5,0.33333,1,0.25,0.29,1.1418901681900024,10705,1.6461584568023682,-1.5134735251586298
Aythya marila,Anseriformes,Anatidae,0.25,0.5,0.33333,0.33333,0.25,0.128,1.071962833404541,1426,1.5326223373413086,-1.463130945625313
Aythya nyroca,Anseriformes,Anatidae,1,0.5,0.33333,1,0.25,0.499,1.4361205101013184,1153,1.5693752765655518,-1.2074298887772934
Bombycilla garrulus,Passeriformes,Bombycillidae,0.5,0.5,0.33333,1,0.33333,0.39,1.0108695030212402,190,1.576253056526184,-1.5654422019493457
Botaurus stellaris,Pelecaniformes,Ardeidae,0.5,1,0.25,0.33333,0.33333,0.324,0.4736786484718323,679,1.3997405767440796,-2.1469667207582606
Branta bernicla,Anseriformes,Anatidae,1,0.5,0.2,0.5,0.33333,0.356,1.1208797693252563,490,1.5105621814727783,-1.3964482961898548
Branta leucopsis,Anseriformes,Anatidae,0.5,1,1,0.33333,0.25,0.499,0.9489232301712036,2109,1.456841230392456,-1.5092686095361412
Bubo bubo,Strigiformes,Strigidae,1,0.5,0.2,0.33333,0.5,0.356,0.9943084716796875,306,1.5824939012527466,-1.5882016880400682
Bubulcus ibis,Pelecaniformes,Ardeidae,1,1,1,0.33333,0.25,0.63,2.219883441925049,7508,1.5621695518493652,-0.7647148609809068
Bucephala clangula,Anseriformes,Anatidae,1,0.5,0.5,0.33333,0.2,0.356,0.9415774345397949,2857,1.3676202297210693,-1.4278189180615153
Buteo buteo,Accipitriformes,Accipitridae,0.33333,1,1,0.33333,0.14286,0.427,0.8514790534973145,17542,1.7494994401931763,-1.9102798189085384
Buteo lagopus,Accipitriformes,Accipitridae,1,1,1,1,0.25,0.804,1.0914905071258545,201,1.2371727228164673,-1.1496285229368017
